Bovine_OF,Bovine_OEV,Feline_OEV,Porcine_OEV,Dunnart_OF,Equine_OF,Human_OF,Canine_OF
EML1,,FH,EML3,CDV3,ENSECAG00000009117,,L7N0B9
EML3,,FHL1,EML4,CELF1,PPP1R7,,J9P385
EML4,,FKBP11,ENAH,CERS2,ENSECAG00000017343,,J9NUD2
ENAH,,FKBP4,Enpp3,CERT1,PGP,,E2RCI2
ENO1,,FLII,epb41,CFAP20,NANS,,P55745
ENO3,,FLNA,Epb41l1,CFAP300,CNIH1,,J9NWP6
ENPP3,,FLNB,EPB41L2,CFAP36,KLC3,,F1P7P3
EPB41,,FLRT3,EPB41L3,CFAP44,NUCKS1,,E2R311
EPB41L1,,FMO1,EPB41L4A,CFAP52,GMPPA,,E2RCI8
EPB41L2,,FMO2,EPB41L4B,CFAP57,OPLAH,,E2R702
EPB41L3,,FMO5,Epb41l5,CFB.1,HDHD2,,E2RSP4
EPB41L5,,FN1,Ephb2,CFB.2,RPL22,,F1Q419
EPCAM,,FN3KRP,Epn1,CFI.1,TSTD1,,E2RRE2
EPHX1,,folr1,EPPK1,CFL1,DSTN,,J9P969
EPHX2,,FUBP1,EPRS,CFL2,ENSECAG00000040430,,F1PPZ5
EPN1,,FUK,Eps15,CGN,STARD10,,E2R4L7
EPPK1,,FUS,EPS15L1,CHCHD3,NDRG4,,F1PHX2
EPS15,,FYN,EPS8,CHD4,AIMP2,,J9P048
EPS15L1,,G6PD,ERC1,CHERP,RPL9,,J9P965
EPS8,,GALK1,ERGIC1,CHI3L1,LCN2,,E2RPQ0
EPS8L1,,GALM,Ergic2,CHM,NHLRC2,,J9NYV0
EPS8L2,,GAN,ERGIC3,CHMP2A,XPOT,,E2RPQ6
ERAP1,,GANAB,ERICH3,CHMP3,SUGT1,,F1PYV1
